state_name,temp_min,temp_max,do_min,do_max,ph_min,ph_max,conductivity_min,conductivity_max,bod_min,bod_max,nitrate_min,nitrate_max,fecal_coliform_min,fecal_coliform_max,total_coliform_min,total_coliform_max,fecal_streptococci_min,fecal_streptococci_max,temp_range,temp_avg,do_range,do_avg,ph_range,ph_avg,conductivity_range,conductivity_avg,bod_range,bod_avg,nitrate_range,nitrate_avg,fecal_coliform_range,fecal_coliform_avg,total_coliform_range,total_coliform_avg,wqi_category
31.0,2.0,24.0,7.8,9.2,7.2,8.2,68.0,380.0,1.0,2.8,0.32,1.15,2.0,170.0,63.0,540.0,2.0,2.0,22.0,13.0,1.3999999999999995,8.5,0.9999999999999991,7.699999999999999,312.0,224.0,1.7999999999999998,1.9,0.8299999999999998,0.735,168.0,86.0,477.0,301.5,Poor
31.0,2.0,13.0,7.6,9.0,6.5,8.1,58.0,135.0,1.0,2.8,0.32,1.87,110.0,1600.0,920.0,1600.0,2.0,2.0,11.0,7.5,1.4000000000000004,8.3,1.5999999999999996,7.3,77.0,96.5,1.7999999999999998,1.9,1.55,1.095,1490.0,855.0,680.0,1260.0,Poor
31.0,2.0,13.0,7.8,8.8,6.7,7.8,62.0,113.0,1.0,2.8,0.32,1.08,110.0,1600.0,350.0,1600.0,2.0,2.0,11.0,7.5,1.0000000000000009,8.3,1.0999999999999996,7.25,51.0,87.5,1.7999999999999998,1.9,0.76,0.7000000000000001,1490.0,855.0,1250.0,975.0,Poor
31.0,2.0,14.0,7.9,8.9,6.3,8.0,52.0,137.0,1.0,1.0,0.32,1.74,22.0,110.0,79.0,540.0,2.0,2.0,12.0,8.0,1.0,8.4,1.7000000000000002,7.15,85.0,94.5,0.0,1.0,1.42,1.03,88.0,66.0,461.0,309.5,Poor
31.0,2.0,13.0,7.8,9.1,7.0,7.8,51.0,113.0,1.0,1.0,0.32,0.97,23.0,120.0,110.0,430.0,2.0,2.0,11.0,7.5,1.2999999999999998,8.45,0.7999999999999998,7.4,62.0,82.0,0.0,1.0,0.6499999999999999,0.645,97.0,71.5,320.0,270.0,Poor
31.0,4.0,16.0,7.6,8.7,6.7,7.8,44.0,128.0,1.0,1.0,0.32,0.9,49.0,220.0,240.0,920.0,2.0,2.0,12.0,10.0,1.0999999999999996,8.149999999999999,1.0999999999999996,7.25,84.0,86.0,0.0,1.0,0.5800000000000001,0.61,171.0,134.5,680.0,580.0,Poor
31.0,4.0,16.0,7.6,8.4,6.6,7.7,73.0,170.0,1.0,1.6,0.32,0.96,47.0,150.0,280.0,920.0,2.0,2.0,12.0,10.0,0.8000000000000007,8.0,1.1000000000000005,7.15,97.0,121.5,0.6000000000000001,1.3,0.6399999999999999,0.64,103.0,98.5,640.0,600.0,Poor
31.0,4.0,16.0,7.5,8.4,7.2,8.0,77.0,144.0,1.0,1.6,0.32,2.65,110.0,540.0,540.0,1600.0,2.0,2.0,12.0,10.0,0.9000000000000004,7.95,0.7999999999999998,7.6,67.0,110.5,0.6000000000000001,1.3,2.33,1.4849999999999999,430.0,325.0,1060.0,1070.0,Poor
31.0,5.0,16.0,7.5,8.1,7.2,8.2,61.0,129.0,1.0,1.0,0.32,0.77,34.0,280.0,170.0,1600.0,2.0,2.0,11.0,10.5,0.5999999999999996,7.8,0.9999999999999991,7.699999999999999,68.0,95.0,0.0,1.0,0.45,0.545,246.0,157.0,1430.0,885.0,Poor
31.0,9.0,26.0,8.3,9.0,7.1,8.3,65.0,205.0,1.0,1.0,0.32,1.06,22.0,79.0,70.0,430.0,2.0,2.0,17.0,17.5,0.6999999999999993,8.65,1.200000000000001,7.7,140.0,135.0,0.0,1.0,0.74,0.6900000000000001,57.0,50.5,360.0,250.0,Good
