"Sr. No.","Station-Location","Distance in Kms.","Dissolved Oxygen during 1986 (mg/l)","Biological Oxygen Demand in 1986 (mg/l)","Dissolved Oxygen during 2011 (mg/l)","Biological Oxygen demand during 2011 (mg/l)"
"1","Rishikesh","0","8.1","1.7","7.6","1.4"
"2","Hardwar D/s","30","8.1","1.8","7.4","1.6"
"3","Garhmukteshwar","175","7.8","2.2","7.5","1.7"
"4","Kannauj U/S","430","7.2","5.5","7.9","1.7"
"6","Kanpur U/S","530","7.2","7.2","7.7","3.3"
"7","Kanpur D/S","548","6.7","8.6","7.6","3.8"
"8","Allahabad U/S","733","6.4","11.4","7.8","5.3"
"9","Allahabad D/S","743","6.6","15.5","7.8","5.1"
"10","Varanasi U/S","908","5.6","10.1","8","2.9"
"11","Varanasi D/S","916","5.9","10.6","8","4.3"
"12","Patna U/S","1188","8.4","2","7","1.8"
"13","Patna D/S","1198","8.1","2.2","7.1","2.5"
